instance,category,parameter_set,run,seed,best_cmax,execution_time,convergence_generation
la31,Large,Set B,5,5,1822,5.5422,151
la31,Large,Set B,6,6,1817,5.5026,47
la31,Large,Set B,7,7,1804,5.5088,163
la31,Large,Set B,8,8,1815,5.5279,23
la31,Large,Set B,9,9,1810,5.5169,134
la31,Large,Set B,10,10,1797,5.5411,34
la31,Large,Set C,1,1,1794,16.6393,29
la31,Large,Set C,2,2,1798,16.6342,69
la31,Large,Set C,3,3,1796,16.5815,52
la31,Large,Set C,4,4,1814,16.594,205
la31,Large,Set C,5,5,1784,16.7278,32
la31,Large,Set C,6,6,1784,16.7013,263
la31,Large,Set C,7,7,1793,16.7928,39
la31,Large,Set C,8,8,1784,16.6837,59
la31,Large,Set C,9,9,1784,16.7425,67
la31,Large,Set C,10,10,1784,16.6856,62
la32,Large,Set A,1,1,1987,1.6928,14
la32,Large,Set A,2,2,1975,1.6713,98
la32,Large,Set A,3,3,1989,1.6678,94
la32,Large,Set A,4,4,1965,1.6647,25
la32,Large,Set A,5,5,1954,1.7083,68
la32,Large,Set A,6,6,1925,1.7796,72
la32,Large,Set A,7,7,1973,1.7121,22
la32,Large,Set A,8,8,1957,1.6593,86
la32,Large,Set A,9,9,1979,1.6515,96
la32,Large,Set A,10,10,1991,1.6544,5
la32,Large,Set B,1,1,1940,5.536,159
la32,Large,Set B,2,2,1900,5.5285,114
la32,Large,Set B,3,3,1929,5.5376,188
la32,Large,Set B,4,4,1909,5.5734,102
la32,Large,Set B,5,5,1923,5.516,151
la32,Large,Set B,6,6,1914,5.5114,50
la32,Large,Set B,7,7,1893,5.4789,38
la32,Large,Set B,8,8,1933,5.535,56
la32,Large,Set B,9,9,1935,5.5157,192
la32,Large,Set B,10,10,1882,5.5497,183
la32,Large,Set C,1,1,1887,16.6247,79
la32,Large,Set C,2,2,1852,16.6651,116
la32,Large,Set C,3,3,1869,16.6897,39
la32,Large,Set C,4,4,1900,16.7699,182
la32,Large,Set C,5,5,1853,16.704,85
la32,Large,Set C,6,6,1862,16.8354,45
la32,Large,Set C,7,7,1850,16.7156,61
la32,Large,Set C,8,8,1878,16.6838,68
la32,Large,Set C,9,9,1861,16.5811,191
la32,Large,Set C,10,10,1851,16.9053,79
